Day,FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
03-23-2020,,,Alberta,Canada,2020-03-23 23:23:10,53.9333,-116.5765,301,1,0,0,"Alberta, Canada"
03-23-2020,,,Anhui,China,2020-03-08 05:19:01,31.8257,117.2264,990,6,984,0,"Anhui, China"
03-23-2020,,,Aruba,Netherlands,2020-03-23 23:19:21,12.5211,-69.9683,9,0,1,8,"Aruba, Netherlands"
03-23-2020,,,Australian Capital Territory,Australia,2020-03-23 23:23:20,-35.4735,149.0124,32,0,0,32,"Australian Capital Territory, Australia"
03-23-2020,,,Beijing,China,2020-03-23 07:08:37,40.1824,116.4142,537,8,401,128,"Beijing, China"
03-23-2020,,,Bermuda,United Kingdom,2020-03-23 23:19:21,32.3078,-64.7505,6,0,0,6,"Bermuda, United Kingdom"
03-23-2020,,,British Columbia,Canada,2020-03-23 23:23:10,53.7267,-127.6476,472,13,0,0,"British Columbia, Canada"
03-23-2020,,,Cayman Islands,United Kingdom,2020-03-23 23:19:21,19.3133,-81.2546,5,1,0,4,"Cayman Islands, United Kingdom"
03-23-2020,,,Channel Islands,United Kingdom,2020-03-23 23:19:21,49.3723,-2.3644,36,0,0,36,"Channel Islands, United Kingdom"
03-23-2020,,,Chongqing,China,2020-03-22 10:52:13,30.0572,107.874,577,6,570,1,"Chongqing, China"
03-23-2020,,,Curacao,Netherlands,2020-03-23 23:19:21,12.1696,-68.99,4,1,0,3,"Curacao, Netherlands"
03-23-2020,,,Diamond Princess,Canada,2020-03-23 23:23:10,0.0,0.0,0,1,0,0,"Diamond Princess, Canada"
03-23-2020,,,Diamond Princess,Cruise Ship,2020-03-23 23:19:21,0.0,0.0,712,8,567,137,"Diamond Princess, Cruise Ship"
03-23-2020,,,Faroe Islands,Denmark,2020-03-23 23:19:21,61.8926,-6.9118,118,0,23,95,"Faroe Islands, Denmark"
03-23-2020,,,French Guiana,France,2020-03-23 23:19:21,4.0,-53.0,20,0,6,14,"French Guiana, France"
03-23-2020,,,French Polynesia,France,2020-03-23 23:19:21,-17.6797,-149.4068,19874,860,2200,16814,"French Polynesia, France"
03-23-2020,,,Fujian,China,2020-03-23 00:50:24,26.0789,117.9874,313,1,295,17,"Fujian, China"
03-23-2020,,,Gansu,China,2020-03-22 14:23:02,37.8099,101.0583,136,2,114,20,"Gansu, China"
03-23-2020,,,Gibraltar,United Kingdom,2020-03-23 23:19:21,36.1408,-5.3536,15,0,5,10,"Gibraltar, United Kingdom"
03-23-2020,,,Grand Princess,Canada,2020-03-23 23:23:10,0.0,0.0,13,0,0,0,"Grand Princess, Canada"
03-23-2020,,,Greenland,Denmark,2020-03-23 23:19:21,71.7069,-42.6043,4,0,0,4,"Greenland, Denmark"
03-23-2020,,,Guadeloupe,France,2020-03-23 23:19:21,16.265,-61.551,62,1,0,61,"Guadeloupe, France"
03-23-2020,,,Guangdong,China,2020-03-23 10:21:49,23.3417,113.4244,1415,8,1332,75,"Guangdong, China"
03-23-2020,,,Guangxi,China,2020-03-20 04:33:45,23.8298,108.7881,254,2,250,2,"Guangxi, China"
03-23-2020,,,Guizhou,China,2020-03-18 01:37:43,26.8154,106.8748,146,2,144,0,"Guizhou, China"
03-23-2020,,,Hainan,China,2020-03-16 13:49:01,19.1959,109.7453,168,6,161,1,"Hainan, China"
03-23-2020,,,Hebei,China,2020-03-23 01:53:35,39.549,116.1306,319,6,310,3,"Hebei, China"
03-23-2020,,,Heilongjiang,China,2020-03-23 00:06:26,47.861999999999995,127.7615,484,13,465,6,"Heilongjiang, China"
03-23-2020,,,Henan,China,2020-03-23 01:11:34,33.882,113.61399999999999,1274,22,1250,2,"Henan, China"
03-23-2020,,,Hong Kong,China,2020-03-23 10:06:18,22.3,114.2,356,4,100,252,"Hong Kong, China"
03-23-2020,,,Hubei,China,2020-03-23 05:06:15,30.9756,112.2707,67800,3153,59882,4765,"Hubei, China"
03-23-2020,,,Hunan,China,2020-03-14 08:25:05,27.6104,111.7088,1018,4,1014,0,"Hunan, China"
03-23-2020,,,Inner Mongolia,China,2020-03-19 00:16:31,44.0935,113.9448,75,1,74,0,"Inner Mongolia, China"
03-23-2020,,,Isle of Man,United Kingdom,2020-03-23 23:19:21,54.2361,-4.5481,13,0,0,13,"Isle of Man, United Kingdom"
03-23-2020,,,Jiangsu,China,2020-03-23 01:58:00,32.9711,119.455,633,0,631,2,"Jiangsu, China"
03-23-2020,,,Jiangxi,China,2020-03-23 01:27:01,27.614,115.7221,936,1,934,1,"Jiangxi, China"
03-23-2020,,,Jilin,China,2020-03-12 12:54:34,43.6661,126.1923,93,1,92,0,"Jilin, China"
03-23-2020,,,Liaoning,China,2020-03-23 00:54:48,41.2956,122.6085,127,2,124,1,"Liaoning, China"
03-23-2020,,,Macau,China,2020-03-23 02:45:51,22.1667,113.55,24,0,10,14,"Macau, China"
03-23-2020,,,Manitoba,Canada,2020-03-23 23:23:10,53.7609,-98.8139,20,0,0,0,"Manitoba, Canada"
03-23-2020,,,Martinique,France,2020-03-23 23:19:21,14.6415,-61.0242,53,1,0,52,"Martinique, France"
03-23-2020,,,Mayotte,France,2020-03-23 23:19:21,-12.8275,45.166244,24,0,0,24,"Mayotte, France"
03-23-2020,,,Montserrat,United Kingdom,2020-03-23 23:19:21,16.742498,-62.187366000000004,1,0,0,1,"Montserrat, United Kingdom"
03-23-2020,,,New Brunswick,Canada,2020-03-23 23:23:10,46.5653,-66.4619,17,0,0,0,"New Brunswick, Canada"
03-23-2020,,,New Caledonia,France,2020-03-23 23:19:21,-20.904304999999997,165.618042,8,0,0,8,"New Caledonia, France"
03-23-2020,,,New South Wales,Australia,2020-03-23 23:23:20,-33.8688,151.2093,669,6,4,659,"New South Wales, Australia"
03-23-2020,,,Newfoundland and Labrador,Canada,2020-03-23 23:23:10,53.1355,-57.6604,24,0,0,0,"Newfoundland and Labrador, Canada"
