FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,Alberta,Canada,2020-04-01 22:04:44,53.9333,-116.5765,754,9,0,0,"Alberta, Canada"
,,Anguilla,United Kingdom,2020-04-01 21:58:34,18.2206,-63.0686,2,0,0,2,"Anguilla, United Kingdom"
,,Anhui,China,2020-03-08 05:19:01,31.8257,117.2264,990,6,984,0,"Anhui, China"
,,Aruba,Netherlands,2020-04-01 21:58:34,12.5211,-69.9683,55,0,1,54,"Aruba, Netherlands"
,,Australian Capital Territory,Australia,2020-04-01 22:04:58,-35.4735,149.0124,84,1,8,75,"Australian Capital Territory, Australia"
,,Beijing,China,2020-04-01 00:55:49,40.1824,116.4142,580,8,418,154,"Beijing, China"
,,Bermuda,United Kingdom,2020-04-01 21:58:34,32.3078,-64.7505,32,0,10,22,"Bermuda, United Kingdom"
,,British Columbia,Canada,2020-04-01 22:04:44,53.7267,-127.6476,1013,24,0,0,"British Columbia, Canada"
,,British Virgin Islands,United Kingdom,2020-04-01 21:58:34,18.4207,-64.64,3,0,0,3,"British Virgin Islands, United Kingdom"
,,Cayman Islands,United Kingdom,2020-04-01 21:58:34,19.3133,-81.2546,22,1,0,21,"Cayman Islands, United Kingdom"
,,Channel Islands,United Kingdom,2020-04-01 21:58:34,49.3723,-2.3644,172,3,0,169,"Channel Islands, United Kingdom"
,,Chongqing,China,2020-03-29 00:14:12,30.0572,107.874,579,6,570,3,"Chongqing, China"
,,Curacao,Netherlands,2020-04-01 21:58:34,12.1696,-68.99,11,1,3,7,"Curacao, Netherlands"
,,Diamond Princess,Canada,2020-04-01 22:04:44,0.0,0.0,0,1,0,0,"Diamond Princess, Canada"
,,Faroe Islands,Denmark,2020-04-01 21:58:34,61.8926,-6.9118,173,0,75,98,"Faroe Islands, Denmark"
,,French Guiana,France,2020-04-01 21:58:34,4.0,-53.0,51,0,15,36,"French Guiana, France"
,,French Polynesia,France,2020-04-01 21:58:34,-17.6797,-149.4068,37,0,0,37,"French Polynesia, France"
,,Fujian,China,2020-04-01 11:54:10,26.0789,117.9874,345,1,298,46,"Fujian, China"
,,Gansu,China,2020-04-01 14:00:34,37.8099,101.0583,138,2,127,9,"Gansu, China"
,,Gibraltar,United Kingdom,2020-04-01 21:58:34,36.1408,-5.3536,81,0,34,47,"Gibraltar, United Kingdom"
,,Grand Princess,Canada,2020-04-01 22:04:44,0.0,0.0,13,0,0,0,"Grand Princess, Canada"
,,Greenland,Denmark,2020-04-01 21:58:34,71.7069,-42.6043,10,0,2,8,"Greenland, Denmark"
,,Guadeloupe,France,2020-04-01 21:58:34,16.265,-61.551,125,6,24,95,"Guadeloupe, France"
,,Guangdong,China,2020-04-01 05:36:53,23.3417,113.4244,1501,8,1357,136,"Guangdong, China"
,,Guangxi,China,2020-03-20 04:33:45,23.8298,108.7881,254,2,250,2,"Guangxi, China"
,,Guizhou,China,2020-03-18 01:37:43,26.8154,106.8748,146,2,144,0,"Guizhou, China"
,,Hainan,China,2020-03-24 04:29:15,19.1959,109.7453,168,6,162,0,"Hainan, China"
,,Hebei,China,2020-04-01 00:13:24,39.549,116.1306,323,6,310,7,"Hebei, China"
,,Heilongjiang,China,2020-03-26 00:15:39,47.861999999999995,127.7615,484,13,469,2,"Heilongjiang, China"
,,Henan,China,2020-03-29 01:44:01,33.882,113.61399999999999,1276,22,1251,3,"Henan, China"
,,Hong Kong,China,2020-04-01 11:07:39,22.3,114.2,765,4,147,614,"Hong Kong, China"
